gene_id,log2FoldChange,padj
AT1G56300,5.828822496,1.20E-157
AT2G21660,5.99252627,3.04E-150
AT3G02380,-2.883722748,7.45E-105
AT2G15890,3.813497931,6.30E-94
AT3G54500,-2.422279907,2.77E-83
AT1G01060,-5.363168932,9.62E-79
AT4G33980,7.595032107,3.24E-71
AT1G64500,-3.297626768,8.31E-70
AT2G15960,3.466187795,1.61E-69
AT2G21330,-2.084942679,3.45E-66
AT2G46830,-3.820264345,7.62E-64
AT2G26080,-1.778510674,2.66E-63
AT3G09600,-3.156752997,1.79E-62
AT2G33830,5.050979529,3.06E-62
AT4G16146,4.382465758,1.53E-60
AT3G26570,-2.440651529,4.52E-60
AT5G50450,3.739050587,2.16E-59
AT4G01950,-3.909604271,2.02E-58
AT2G15880,4.436904021,1.25E-56
AT2G15810,-5.282551739,2.32E-52
AT3G07650,4.809210877,1.11E-51
AT5G56870,3.377354439,1.52E-50
AT3G52720,-3.339031395,1.61E-49
AT5G10860,1.753666491,4.93E-49
AT4G39260,2.577168384,1.25E-48
AT2G29470,4.794240301,4.10E-48
AT1G22770,2.654596733,2.35E-46
AT3G56290,-2.294578374,3.79E-46
AT1G65490,-3.661518247,2.37E-45
AT5G38430,-1.621337803,5.91E-45
AT5G42900,7.205117176,8.06E-45
AT3G15450,2.457430955,9.87E-44
AT1G07010,-1.8188807,2.42E-43
AT5G26570,2.447142944,1.36E-42
AT3G15354,-2.751509478,3.33E-41
AT3G13450,2.737587662,9.18E-41
AT4G26850,-1.909877375,1.77E-40
AT3G12320,-3.320978572,1.93E-40
AT5G64940,-1.856042381,2.94E-40
AT1G55960,-2.559647865,7.09E-40
AT3G50700,2.154210068,3.31E-39
AT4G25500,1.639648191,7.51E-38
AT5G06390,-1.866128689,9.92E-38
AT4G00050,-2.917311559,1.55E-37
AT3G26740,2.772070948,1.63E-37
AT4G37800,-3.181157251,3.38E-37
AT5G22390,-1.832443213,1.26E-35
AT1G78600,2.244821659,1.76E-35
AT1G75100,-1.926109963,2.54E-35
AT1G07050,6.224987661,3.85E-35
AT5G57630,2.490271187,6.32E-35
AT4G08300,-2.998757102,7.09E-35
AT5G60100,7.676652361,4.03E-34
AT1G76590,2.646699853,7.75E-34
AT3G50500,1.557563297,1.03E-33
AT2G03750,-1.840481858,4.05E-33
AT5G06690,3.288703933,4.05E-33
AT5G48250,4.176925815,4.36E-33
AT1G62760,6.115946625,7.26E-33
AT4G14270,2.313953061,7.91E-33
AT3G02830,-1.806927225,8.19E-33
AT2G15800,-4.81601374,8.59E-33
AT3G01550,-2.257200042,1.79E-32
AT2G28840,2.090129128,4.49E-32
AT1G62180,-3.341702637,1.39E-31
AT4G09020,2.700217444,1.66E-31
AT1G78370,-2.672789357,2.79E-31
AT2G41250,-2.740133355,5.36E-31
AT1G79440,2.343139381,1.08E-30
AT5G63810,3.154466252,1.49E-30
AT1G10140,2.565735438,2.03E-30
AT2G25930,3.111122043,3.82E-30
AT3G47160,1.924149699,7.89E-30
AT5G14200,-2.216111483,1.54E-29
AT2G04039,-1.540087057,5.51E-29
AT2G22450,3.500225306,5.51E-29
AT4G27130,2.347519372,6.24E-29
AT4G39090,1.942641168,6.45E-29
AT1G28330,4.003614874,8.56E-29
AT3G03780,-2.652070356,1.82E-28
AT5G09870,-1.902583216,1.82E-28
AT3G58570,2.967034077,2.07E-28
AT1G07040,2.197568582,2.16E-28
AT4G33010,-1.423739961,2.24E-28
AT4G38970,-1.650678764,2.33E-28
AT2G25730,2.803896277,4.91E-28
AT5G03760,-2.575749149,8.04E-28
AT2G46450,-1.834774488,1.35E-27
AT1G73600,-2.940500731,1.35E-27
AT1G23740,-2.125340536,1.48E-27
AT1G32900,-3.65196291,1.92E-27
AT5G23575,1.807241416,3.21E-27
AT1G19920,-1.927124104,4.30E-27
AT1G67980,4.591695639,4.47E-27
AT2G30520,-2.328729897,4.47E-27
AT1G41830,-2.442302031,4.53E-27
AT4G22570,-2.206272609,6.37E-27
AT1G13080,-2.519663872,7.07E-27
AT5G17300,-3.210729309,8.16E-27
AT1G62960,-1.435197082,1.30E-26
AT1G17050,-1.892916074,1.59E-26
AT1G08477,-2.593076116,2.37E-26
AT4G13770,-1.946934275,2.37E-26
AT4G02330,-2.39806712,5.23E-26
AT2G41230,4.045682623,5.78E-26
AT4G26670,4.091753086,1.14E-25
AT3G47800,1.972613178,1.92E-25
